Altium Designer Pick and Place Locations
C:\Users\Public\Documents\Altium\Projects\OSP_Carrier_Board\Project Outputs for OSP_Carrier_Board\Pick Place for OSP_Carrier_V8.csv

========================================================================================================================
File Design Information:

Date:       09-02-22
Time:       21:31
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"R40","10k","TopLayer","RES_0402/1005","78.740","795.276","0","RES SMD 10K OHM 1% 1/10W 0402"
"R41","10k","TopLayer","RES_0402/1005","173.228","795.276","180","RES SMD 10K OHM 1% 1/10W 0402"
"R47","1M","TopLayer","RES_0402/1005","590.551","137.795","0","RES SMD 1M OHM 1% 1/10W 0402"
"R49","470","TopLayer","RES_0402/1005","-578.740","594.489","180","RES SMD 470 OHM 1% 1/10W 0402"
"R54","33","TopLayer","RES_0402/1005","-377.953","677.166","0","RES SMD 33 OHM 1% 1/10W 0402"
"R55","33","TopLayer","RES_0402/1005","-275.591","677.166","180","RES SMD 33 OHM 1% 1/10W 0402"
"U1","MachXO3LF-6900C","TopLayer","LCMXO3_caBGA_BG256","47.244","-342.520","180","Lattice MachXO3LF-6900C-5BG256C FPGA"
"U13","AP7313-18SAG-7","TopLayer","DIODES_SOT-23-3","-578.740","492.126","90","IC REG LDO 1.8V 0.15A SOT23-3"
"U14","FT234XD","TopLayer","FTDI_DFN12","-326.772","578.740","0","FTDI FT234XD USB to UART"
"J26","Shallow","TopLayer","AMPHENOL_10125839-04RAEHLF_DNP","-929.134","291.339","180","Amphenol 10125839-04RAEHLF (Do Not Populate)"
"C98","1uF","TopLayer","CAP_0603/1608","192.913","740.158","0","CAP CER 1UF 25V X7R 0603"
"C99","1uF","TopLayer","CAP_0603/1608","307.087","740.158","0","CAP CER 1UF 25V X7R 0603"
"J1","USB-C","BottomLayer","TE_USB-C_2129691-1","-59.056","-832.874","0","TE 2129691-1 USB-C Socket"
"SW1","EVQ-P7A01P","TopLayer","PANASONIC_EVQ-P7A","-1177.165","-456.693","270","Tact Switch SMT Right Angle"
"SW2","EVQ-P7A01P","TopLayer","PANASONIC_EVQ-P7A","-1177.165","-55.118","270","Tact Switch SMT Right Angle"
"R35","47k","TopLayer","RES_0402/1005","-1003.937","700.787","270","RES SMD 47K OHM 1% 1/10W 0402"
"C21","0.01uF","BottomLayer","CAP_0402/1005","0.000","-216.536","0","CAP CER 10000PF 25V X7R 0402"
"C22","0.01uF","BottomLayer","CAP_0402/1005","-15.748","-452.756","90","CAP CER 10000PF 25V X7R 0402"
"C23","0.01uF","BottomLayer","CAP_0402/1005","110.236","-232.284","270","CAP CER 10000PF 25V X7R 0402"
"C25","0.01uF","BottomLayer","CAP_0402/1005","94.488","-468.504","180","CAP CER 10000PF 25V X7R 0402"
"C26","0.01uF","BottomLayer","CAP_0402/1005","-62.992","-279.528","0","CAP CER 10000PF 25V X7R 0402"
"C28","0.01uF","BottomLayer","CAP_0402/1005","-78.741","-389.764","90","CAP CER 10000PF 25V X7R 0402"
"C43","1uF","BottomLayer","CAP_0402/1005","842.519","-511.811","270","CAP CER 1UF 10V X5R 0402"
"C44","1uF","BottomLayer","CAP_0402/1005","842.519","-425.197","270","CAP CER 1UF 10V X5R 0402"
"U3","AP7313-18SAG-7","BottomLayer","DIODES_SOT-23-3","940.944","-460.630","0","IC REG LDO 1.8V 0.15A SOT23-3"
"R44","10k","TopLayer","RES_0402/1005","-464.567","212.598","180","RES SMD 10K OHM 1% 1/10W 0402"
"TP1","TP_SMD_1MM_SQ","TopLayer","TP_SMD_1MM_SQ","519.685","-216.536","0","1mm Square SMD Test Point"
"TP2","TP_SMD_1MM_SQ","TopLayer","TP_SMD_1MM_SQ","594.488","-216.536","90","1mm Square SMD Test Point"
"TP3","TP_SMD_1MM_SQ","TopLayer","TP_SMD_1MM_SQ","370.079","-216.536","90","1mm Square SMD Test Point"
"TP4","TP_SMD_1MM_SQ","TopLayer","TP_SMD_1MM_SQ","444.882","-216.536","90","1mm Square SMD Test Point"
"C53","0.1uF","BottomLayer","CAP_0402/1005","-736.221","645.669","0","CAP CER 0.1UF 50V X7R 0402"
"C46","10uF","BottomLayer","CAP_1206/3216","-1049.606","700.787","0","CAP CER 10UF 25V X7R 1206"
"C49","0.47uF","BottomLayer","CAP_0402/1005","-822.835","645.669","180","CAP CER 0.47UF 10V X5R 0402"
"C50","1uF","BottomLayer","CAP_0402/1005","-602.362","283.464","90","CAP CER 1UF 10V X5R 0402"
"C51","10uF","BottomLayer","CAP_1206/3216","-741.005","133.858","270","CAP CER 10UF 25V X7R 1206"
"C52","10uF","BottomLayer","CAP_1206/3216","-839.430","133.858","270","CAP CER 10UF 25V X7R 1206"
"D2","B330","BottomLayer","DO214AC_SMA","-1074.803","822.835","180","B330AE-13 Schottky Diode 3A 30V"
"D3","B330","BottomLayer","DO214AC_SMA","-992.126","444.882","180","B330AE-13 Schottky Diode 3A 30V"
"L1","6.8uH","BottomLayer","LAIRD_TYS6028","-1019.685","251.969","180","Laird TYS60286R8M-10 6.8uH 2.4A 47mOhms"
"Q8","PMV30XPEAR","BottomLayer","NXP_SOT23","-1055.118","586.614","0","PMV30XPEAR PMOS 20V -5.3A 28mOhms"
"R9","2.2k","BottomLayer","RES_0402/1005","-870.079","570.866","270","RES SMD 2.2K OHM 1% 1/10W 0402"
"R8","0.2","BottomLayer","STACKPOLE_CSR1206","-728.347","279.527","180","RES SMD 0.2 OHM 1% 1/2W 1206"
"U5","LTC4002","BottomLayer","AD_LT_S8","-729.725","473.425","270","Analog / Linear 1.5A Single Cell Li-Ion Battery Charger"
"R42","1k","BottomLayer","RES_0402/1005","-834.646","-555.118","90","RES SMD 1K OHM 1% 1/10W 0402"
"R39","22","BottomLayer","RES_0402/1005","-783.465","-452.756","90","RES SMD 22 OHM 1% 1/10W 0402"
"R38","1k","BottomLayer","RES_0402/1005","-783.465","-555.118","270","RES SMD 1K OHM 1% 1/10W 0402"
"R37","1k","BottomLayer","RES_0402/1005","-653.543","-555.118","90","RES SMD 1K OHM 1% 1/10W 0402"
"R36","22","BottomLayer","RES_0402/1005","-704.724","-452.756","90","RES SMD 22 OHM 1% 1/10W 0402"
"C38","0.1uF","BottomLayer","CAP_0402/1005","-850.394","-480.315","180","CAP CER 0.1UF 50V X7R 0402"
"C37","10uF","BottomLayer","CAP_0805/2012","-929.134","-543.307","0","CAP CER 10UF 10V X5R 0805"
"C29","0.33uF","BottomLayer","CAP_0402/1005","-637.795","-480.315","180","CAP CER 1UF 10V X5R 0402"
"R78","0.0","BottomLayer","RES_0805/2012","-523.622","-559.055","180","RES SMD 0.0 OHM JUMPER 1/2W 0805"
"C107","1000pF","BottomLayer","CAP_0805/2012","-523.622","-480.315","180","CAP CER 1000PF 50V C0G 0805"
"R33","1k","BottomLayer","RES_0402/1005","-704.724","-555.118","270","RES SMD 1K OHM 1% 1/10W 0402"
"Y2","1.544MHz","TopLayer","ABRACON_ASFLMB","-492.126","-657.480","90","Abracon ASFLMB-1.544MHZ-LR-T"
"U2","AD9235BCPZRL7-20","TopLayer","CP_32_2-M","-500.000","-393.701","90","Imported"
"C42","1uF","TopLayer","CAP_0402/1005","-334.646","-326.772","270","CAP CER 1UF 10V X5R 0402"
"C41","10uF","TopLayer","CAP_0805/2012","-681.102","-500.000","270","CAP CER 10UF 10V X5R 0805"
"C40","15pF","TopLayer","CAP_0402/1005","-795.276","-437.008","0","CAP CER 15PF 50V C0G 0402"
"C36","0.1uF","TopLayer","CAP_0402/1005","-708.661","-311.024","270","CAP CER 0.1UF 50V X7R 0402"
"C35","0.1uF","TopLayer","CAP_0402/1005","-661.417","-299.213","270","CAP CER 0.1UF 50V X7R 0402"
"C34","10uF","TopLayer","CAP_0805/2012","-771.654","-295.276","90","CAP CER 10UF 10V X5R 0805"
"C33","0.1uF","TopLayer","CAP_0402/1005","-708.661","-224.410","90","CAP CER 0.1UF 50V X7R 0402"
"C32","0.1uF","TopLayer","CAP_0402/1005","-547.244","-228.346","0","CAP CER 0.1UF 50V X7R 0402"
"C31","10uF","TopLayer","CAP_0805/2012","-547.244","-165.354","180","CAP CER 10UF 10V X5R 0805"
"C30","15pF","TopLayer","CAP_0402/1005","-795.276","-389.764","0","CAP CER 15PF 50V C0G 0402"
"R29","2k","TopLayer","RES_0402/1005","-500.000","-940.945","180","RES SMD 2K OHM 1% 1/10W 0402"
"R21","100","TopLayer","RES_0402/1005","-448.819","-889.764","180","RES SMD 100 OHM 1% 1/10W 0402"
"R20","115","TopLayer","RES_0402/1005","-523.622","-866.142","90","RES SMD 115 OHM 1% 1/10W 0402"
"R19","100","TopLayer","RES_0402/1005","-448.819","-842.520","180","RES SMD 100 OHM 1% 1/10W 0402"
"R18","2k","TopLayer","RES_0402/1005","-500.000","-791.339","0","RES SMD 2K OHM 1% 1/10W 0402"
"C9","0.01uF","TopLayer","CAP_0402/1005","-263.779","-562.992","90","CAP CER 10000PF 25V X7R 0402"
"TP5","TP_SMD_JULIAN","TopLayer","TP_SMD_JULIAN","-358.268","-578.740","180","Julian Extra-Large SMD Test Point"
"C45","0.1uF","TopLayer","CAP_0402/1005","-397.638","-712.598","90","CAP CER 0.1UF 50V X7R 0402"
"R15","0.0","TopLayer","RES_0603/1608","-598.425","-586.614","270","RES SMD 0.0 OHM JUMPER 1/4W 0603"
"J0","DF40C-90DS-0.4V(51)","Mechanical16","Hirose_DF40C-90DS-0.4V(51)","94.488","859.055","0","Hirose DF40C-90DS-0.4V(51) Board-to-Board Connector"
"J00","DF40C-90DS-0.4V(51)","Mechanical16","Hirose_DF40C-90DS-0.4V(51)","94.488","87.401","0","Hirose DF40C-90DS-0.4V(51) Board-to-Board Connector"
